atom_id,source_code
A32356564,0158U
A25756683,72084
A34772917,20527
A18514016,35626
A21049240,60505
A21035464,27422
A4857707,89255
A18512342,93225
A19994709,0555F
A32357582,34201
A32362574,73080
A4851964,35211
A8583373,88141
A34767210,29916
A31178461,49013
A32357345,23335
A32367401,0178U
A11000349,49580
A4858401,40510
A21056819,65235
A21055652,23605
A19992751,63050
A18513298,29901
A23578190,87498
A34769876,33676
A27406264,0428T
A32367628,97162
A32353052,25073
A32365983,25116
A32355321,31651
A32355831,61591
A34771784,97537
A21040779,20950
A21050404,99443
A4891927,90296
A31179384,0077U
A32356246,81347
A19994518,86932
A8580331,69661
A23574531,26433
A34773067,43113
A34767532,90619
A4917088,80074
A32352921,17284
A19992122,72194
A32352136,86880
A4857040,41016
A24207570,64755
A34774417,93272
A34769797,23220
A34771627,66989
A24210814,61618
A24212233,33507
A21053108,62268
A8580221,31090
A0675020,27520
A11000882,0503F
A31179359,80230
A29929186,81345
A32356388,81465
A32356576,0177U
A32367419,0203U
A0968650,87517
A29929258,99446
A23573811,28450
A27759948,0001U
A18513322,37229
A21031877,86152
A25756399,81442
A23574775,1006265
A0813762,67599
A29928783,20932
A32358891,93286
A32365891,20606
A8580234,36216
A21037934,49653
A21059484,27637
A32352264,0145U
A32365685,14041
A34769408,45342
A32362483,64484
A13078534,27766
A1751508,58770
A32355118,21146
A32365917,21556
A21054396,27138
A34768515,68840
A0656521,42806
A18514458,88120
A34769484,63053
A23568792,22861
A32361272,0627T
A32367751,0614T
A32367302,87625
A32359073,99403
A4720896,67973
A23577810,25337
A34772063,55110
A21041218,33203
A21056627,61584
A19991856,35523
A32351673,64782
A23577355,1015058
A4953833,58545
A19995276,85250
A29928843,81287
A0680769,61512
A21052937,57000
A21042948,84144
A13077589,99408
A32355201,25491
A0679453,42962
A34767244,34813
A34770945,36591
A32365767,15273
A24211041,76948
A15888217,T8
A18512794,11012
A4855395,61608
A21038210,61608
A21036403,71551
A34770416,33966
A19992918,83013
A4851330,47785
A24211649,57500
A24210820,61619
A19996184,4090F
A19994798,01340
A32350626,15004
A32353616,52285
A19995800,57511
A24211265,1022262
A21048611,30400
A0346303,21282
A1021006,89254
A24212176,00912
A18512198,86156
A32361030,93283
A21048638,31510
A23572296,1004018
A23579531,27497
A18513709,30930
A34771817,99336
A17110317,26111
A32366906,77307
A24207823,75805
A21035612,11406
A15885959,25136
A4853534,36800
A21054509,33130
A34767515,0283U
A32352686,11400
A32360502,80061
A0662169,35571
A21056404,50390
A27405237,1021861
A28577571,34834
A23580127,15937
A34771509,43753
A18513330,43279
A32365129,87521
A23570865,1014590
A21050525,3112F
A23571200,20670
A19992355,4145F
A21057684,3035F
A21054205,01610
A4854649,40720
A28578277,71048
A32359394,17283
A32355504,36576
A32353432,41019
A34774498,01840
A34772446,28298
A32360400,75898
A32351904,80340
A32358750,0065U
A4847892,82952
A24206211,45386
A19994483,84450
A28578904,0501T
A32357912,51860
A4860896,24498
A23577846,27266
A19995988,81342
A32350644,15115
A32358524,81405
A1946243,83662
A4847550,93650
A15886910,32200
A23571640,1011965
A23577267,1007695
A0662158,35521
A1748625,26215
A24212068,1022269
A0408989,31420
A19995544,0268T
A34769192,0677T
A25756482,65785
A18512989,78451
A4857498,59140
A19994265,57020
A18514520,11732
A21059942,44015
A21060212,57150
A27405451,1022301
A25756132,80159
A4862862,40842
A32365681,14041
A28577884,31241
A29929133,1035163
A21041843,60650
A23573145,1005927
A32363947,27712
A3860303,61537
A15887323,28234
A24206926,79445
A24207148,01320
A21039871,46754
A21058794,88312
A21034725,67340
A21060083,50545
A21044012,83987
A19992287,92355
A21046719,15835
A4917618,85046
A32357623,35013
A32355896,63040
A19994376,72190
A0784106,42892
A4927631,87168
A32363674,16020
A32353587,50400
A21034336,54205
A4857472,93313
A19994123,33916
A21060443,63250
A21053653,88305
A1414495,28725
A23576146,24435
A31179423,0129U
A32363729,17282
A32355859,62281
A32366997,80418
A21044654,25025
A23574816,1008641
A25756419,90747
A21048373,26020
A4853959,49062
A19997622,87551
A32366532,53215
A32352747,13153
A32357953,57283
A32366637,62350
A4852744,62220
A4859674,28405
A27405264,0431T
A21045695,62120
A21050311,50382
A34775057,00620
A32351984,81403
A19997277,47562
A1748902,57100
A0657336,86078
A21047088,27712
A19996755,81217
A34770891,28496
A34769704,0675T
A34773609,37618
A32361018,92979
A32359516,25116
A32353642,54150
A32364611,64856
A32360800,87109
A34769556,77091
A19997357,59000
A19995209,78075
A21050510,87536
A23569554,16025
A23568887,27245
A23568981,81216
A4917368,83825
A31180435,0075U
A32355202,25820
A21059385,26494
A27405197,33406
A21052069,25101
A4852703,44700
A21035004,86301
A34774275,64714
A29929436,99454
A32358755,0105U
A13078586,99254
A32367677,99213
A15886838,26412
A1747684,27418
A21043686,54326
A21045258,44213
A21060299,61543
A21046531,5010F
A13078583,98967
A23572305,1004377
A17110642,27328
A32353637,53665
A1749942,26508
A23577379,1021142
A34771470,35188
A23580527,1008137
A34772609,61520
A32357101,15040
A17111440,74262
A32354670,96567
A32359511,25109
A0343094,56800
A11000656,22224
A23568280,1007840
A8583917,15111
A34769020,67334
A34769158,95852
A32363459,0631T
A32367655,99191
A32354729,99218
A32357510,32562
A21055742,26445
A21044935,31536
A24208261,54390
A0640742,14061
A7160384,50300
A34767173,25907
A21052585,41108
A19996165,1151F
A21036166,50544
A21041189,31638
A21037502,31640
A21044962,31643
A23575152,11755
A32361673,23020
A32350494,01810
A18514750,92593
A23573200,1008768
A21039260,13101
A32362724,80165
A21056282,44388
A15885074,24361
A23572193,29874
A32356984,11311
A0779584,33915
A32359752,34703
A23578005,1003735
A11001463,49507
A21059656,33502
A21034538,61708
A32354452,0150U
A19994153,38589
A29929642,99453
A32354719,99452
A32354139,81400
A0796060,92546
A19997290,49605
A34773159,61860
A19994075,27760
A1749587,42160
A21037360,27637
A11000333,19305
A4927594,33141
A23569974,1007076
A23577332,1011824
A32367634,97763
A32365841,17280
A32354753,99355
A21043063,81512
A7160343,0075T
A11000779,49325
A24208820,00670
A23568252,1006557
A8578808,4015F
A34774301,68841
A34769670,95130
A19996081,89343
A32359417,19330
A32351942,81351
A4858619,55862
A19992202,83727
A8580687,35876
A23574435,21431
A34767932,64583
A21039336,95905
A17111414,1205F
A11001321,51720
A19996711,75705
A8580238,36245
A24209075,52356
A11001462,43882
A25756776,77789
A34774600,28310
A21039840,44180
A32353533,46045
A21052843,51020
A13076411,36591
A23572484,1020563
A19991937,49082
A32354810,01430
A29928602,50437
A32366697,63091
A32362475,64480
A0783398,50200
A21056415,50553
A32366280,36010
A34767621,99326
A34770966,43210
A29929469,X1
A29930041,0506T
A32359404,17311
A34767533,90738
A18513400,78700
A32360979,90912
A0317781,38794
A8583237,89049
A25756600,81442
A34773271,87339
A32354678,97026
A1946099,87015
A21039096,15050
A2060317,53447
A28577743,1031045
A23573767,27499
A19997634,88312
A32367021,81341
A32358573,81455
A32354529,90716
A32352330,90740
A18514606,54050
A4861670,66762
A4861842,50400
A24206591,44407
A0796063,31084
A32359117,00880
A29929673,0534T
A32366843,74210
A21041858,61314
A15885969,26420
A21043043,35666
A21052441,33851
A17110277,86593
A34774211,51980
A0644861,01840
A4851773,51525
A32354950,15005
A32364580,64480
A23577345,1014122
A32366791,70100
A34772292,0640T
A21036551,84202
A21044300,01484
A19993735,85345
A23580973,21366
A32359420,19364
A19997085,2015F
A1098385,92953
A31179907,0095U
A17111343,3293F
A32358910,93621
A32353206,32096
A32351914,81005
A34768008,1027855
A32362972,86695
A21057698,11310
A2409833,26440
A1750505,28280
A32367229,86235
A1101658,26060
A13076398,22844
A21049125,51600
A23573796,28108
A23573807,28322
A32356954,01472
A32353217,33202
A32352085,83050
A32352198,87623
A29929614,94780
A25756886,0397T
A34767889,56800
A5062659,61867
A29928730,99453
A32358857,92538
A32362458,63304
A32364833,80332
A4864631,93978
A19994111,33330
A24209475,80164
A21051098,54861
A34775212,33858
A21047621,74230
A23573764,27472
A21036484,80201
A21033940,35341
A23568285,1008099
A19997696,96523
A34770453,41009
A34775265,42300
A23572795,20550
A19995142,69745
A21041390,40490
A23578490,15731
A19997210,37192
A34768986,62269
A32363568,12056
A15885136,29130
A23572058,24800
A19992806,68326
A21038821,88307
A0806787,32035
A0025784,44950
A17110853,93701
A34771903,25491
A34771413,27720
A19997518,78110
A4855968,33852
A21058523,66920
A21056608,61316
A21044924,31235
A21059618,32140
A32360904,0145U
A34775390,67042
A32363518,11443
A32352245,0036U
A32352930,19082
A21035536,83775
A4852270,21181
A15887646,23044
A0722221,42700
A27406232,1015042
A32366533,53235
A23579371,20605
A34767788,33545
A34769611,87428
A15886683,00162
A32355775,58267
A32352019,81406
A4855815,88311
A23575527,99450
A19996613,61581
A18514140,27326
A19993744,86384
A21057556,19120
A15884962,00144
A32363866,25312
A32360013,47553
A24206165,11446
A21044624,24341
A7160408,0502F
A28578889,0488T
A21055840,27607
A1748845,47900
A0677253,33697
A21053104,62220
A21051362,80436
A19994221,50220
A1749856,40845
A32367509,92979
A32354602,93464
A32351799,76826
A21038222,61616
A21055834,27558
A34768448,55650
A34772750,0239U
A21053654,88305
A4864629,93975
A0980361,22818
A18512542,50949
A23568770,21431
A24207763,20600
A32352528,98972
A32363265,93657
A32365220,0190U
A19996496,44364
A4854211,33670
A32355004,15819
A32354830,10121
A34769707,0687T
A32365648,11960
A17111349,21554
A32360547,81193
A32365178,89281
A4864398,55180
A19992967,86905
A21033848,33241
A24209551,3126F
A34769803,24150
A34774751,57061
A0644915,01150
A31179391,0088U
